drug_name,category
silicones,Other drugs for functional gastrointestinal disorders
valethamate,Other drugs for functional gastrointestinal disorders
menthae piperitae aetheroleum,Other drugs for functional gastrointestinal disorders
trimethyldiphenylpropylamine,Other drugs for functional gastrointestinal disorders
"alverine, combinations",Other drugs for functional gastrointestinal disorders
atropine,"Belladonna alkaloids, tertiary amines"
hyoscyamine,"Belladonna alkaloids, tertiary amines"
belladonna total alkaloids,"Belladonna alkaloids, tertiary amines"
butylscopolamine,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds"
methylatropine,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds"
methylscopolamine,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds"
fentonium,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds"
cimetropium bromide,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds"
homatropine methylbromide,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds"
isopropamide and psycholeptics,Synthetic anticholinergic agents in combination with psycholeptics
clidinium and psycholeptics,Synthetic anticholinergic agents in combination with psycholeptics
oxyphencyclimine and psycholeptics,Synthetic anticholinergic agents in combination with psycholeptics
otilonium bromide and psycholeptics,Synthetic anticholinergic agents in combination with psycholeptics
glycopyrronium bromide and psycholeptics,Synthetic anticholinergic agents in combination with psycholeptics
bevonium and psycholeptics,Synthetic anticholinergic agents in combination with psycholeptics
ambutonium and psycholeptics,Synthetic anticholinergic agents in combination with psycholeptics
diphemanil and psycholeptics,Synthetic anticholinergic agents in combination with psycholeptics
pipenzolate and psycholeptics,Synthetic anticholinergic agents in combination with psycholeptics
emepronium and psycholeptics,Synthetic anticholinergic agents in combination with psycholeptics
propantheline and psycholeptics,Synthetic anticholinergic agents in combination with psycholeptics
methylscopolamine and psycholeptics,Belladonna and derivatives in combination with psycholeptics
belladonna total alkaloids and psycholeptics,Belladonna and derivatives in combination with psycholeptics
atropine and psycholeptics,Belladonna and derivatives in combination with psycholeptics
homatropine methylbromide and psycholeptics,Belladonna and derivatives in combination with psycholeptics
hyoscyamine and psycholeptics,Belladonna and derivatives in combination with psycholeptics
tropenzilone and analgesics,Synthetic anticholinergic agents in combination with analgesics
pitofenone and analgesics,Synthetic anticholinergic agents in combination with analgesics
bevonium and analgesics,Synthetic anticholinergic agents in combination with analgesics
ciclonium and analgesics,Synthetic anticholinergic agents in combination with analgesics
camylofin and analgesics,Synthetic anticholinergic agents in combination with analgesics
trospium and analgesics,Synthetic anticholinergic agents in combination with analgesics
tiemonium iodide and analgesics,Synthetic anticholinergic agents in combination with analgesics
