drug_name,category
thioacetazone,Other drugs for treatment of tuberculosis
pretomanid,Other drugs for treatment of tuberculosis
streptomycin and isoniazid,Combinations of drugs for treatment of tuberculosis
rifampicin and isoniazid,Combinations of drugs for treatment of tuberculosis
ethambutol and isoniazid,Combinations of drugs for treatment of tuberculosis
thioacetazone and isoniazid,Combinations of drugs for treatment of tuberculosis
"rifampicin, pyrazinamide and isoniazid",Combinations of drugs for treatment of tuberculosis
"rifampicin, pyrazinamide, ethambutol and isoniazid",Combinations of drugs for treatment of tuberculosis
"rifampicin, ethambutol and isoniazid",Combinations of drugs for treatment of tuberculosis
"isoniazid, sulfamethoxazole, trimethoprim and pyridoxine",Combinations of drugs for treatment of tuberculosis
clofazimine,Drugs for treatment of lepra
aldesulfone sodium,Drugs for treatment of lepra
metisazone,Thiosemicarbazones
vidarabine,Nucleosides and nucleotides excl. reverse transcriptase inhibitors
ganciclovir,Nucleosides and nucleotides excl. reverse transcriptase inhibitors
famciclovir,Nucleosides and nucleotides excl. reverse transcriptase inhibitors
valaciclovir,Nucleosides and nucleotides excl. reverse transcriptase inhibitors
cidofovir,Nucleosides and nucleotides excl. reverse transcriptase inhibitors
valganciclovir,Nucleosides and nucleotides excl. reverse transcriptase inhibitors
brivudine,Nucleosides and nucleotides excl. reverse transcriptase inhibitors
rimantadine,Cyclic amines
foscarnet,Phosphonic acid derivatives
fosfonet,Phosphonic acid derivatives
saquinavir,Protease inhibitors
indinavir,Protease inhibitors
ritonavir,Protease inhibitors
nelfinavir,Protease inhibitors
amprenavir,Protease inhibitors
fosamprenavir,Protease inhibitors
atazanavir,Protease inhibitors
tipranavir,Protease inhibitors
darunavir,Protease inhibitors
zidovudine,Nucleoside and nucleotide reverse transcriptase inhibitors
didanosine,Nucleoside and nucleotide reverse transcriptase inhibitors
zalcitabine,Nucleoside and nucleotide reverse transcriptase inhibitors
stavudine,Nucleoside and nucleotide reverse transcriptase inhibitors
lamivudine,Nucleoside and nucleotide reverse transcriptase inhibitors
abacavir,Nucleoside and nucleotide reverse transcriptase inhibitors
tenofovir disoproxil,Nucleoside and nucleotide reverse transcriptase inhibitors
adefovir dipivoxil,Nucleoside and nucleotide reverse transcriptase inhibitors
emtricitabine,Nucleoside and nucleotide reverse transcriptase inhibitors
entecavir,Nucleoside and nucleotide reverse transcriptase inhibitors
telbivudine,Nucleoside and nucleotide reverse transcriptase inhibitors
clevudine,Nucleoside and nucleotide reverse transcriptase inhibitors
tenofovir alafenamide,Nucleoside and nucleotide reverse transcriptase inhibitors
nevirapine,Non-nucleoside reverse transcriptase inhibitors
delavirdine,Non-nucleoside reverse transcriptase inhibitors
efavirenz,Non-nucleoside reverse transcriptase inhibitors
etravirine,Non-nucleoside reverse transcriptase inhibitors
rilpivirine,Non-nucleoside reverse transcriptase inhibitors
doravirine,Non-nucleoside reverse transcriptase inhibitors
zanamivir,Neuraminidase inhibitors
oseltamivir,Neuraminidase inhibitors
peramivir,Neuraminidase inhibitors
laninamivir,Neuraminidase inhibitors
raltegravir,Integrase inhibitors
elvitegravir,Integrase inhibitors
dolutegravir,Integrase inhibitors
cabotegravir,Integrase inhibitors
ribavirin,Antivirals for treatment of HCV infections
telaprevir,Antivirals for treatment of HCV infections
boceprevir,Antivirals for treatment of HCV infections
faldaprevir,Antivirals for treatment of HCV infections
simeprevir,Antivirals for treatment of HCV infections
asunaprevir,Antivirals for treatment of HCV infections
daclatasvir,Antivirals for treatment of HCV infections
sofosbuvir,Antivirals for treatment of HCV infections
dasabuvir,Antivirals for treatment of HCV infections
elbasvir,Antivirals for treatment of HCV infections
grazoprevir,Antivirals for treatment of HCV infections
sofosbuvir and ledipasvir,Antivirals for treatment of HCV infections
"dasabuvir, ombitasvir, paritaprevir and ritonavir",Antivirals for treatment of HCV infections
"ombitasvir, paritaprevir and ritonavir",Antivirals for treatment of HCV infections
elbasvir and grazoprevir,Antivirals for treatment of HCV infections
sofosbuvir and velpatasvir,Antivirals for treatment of HCV infections
"sofosbuvir, velpatasvir and voxilaprevir",Antivirals for treatment of HCV infections
glecaprevir and pibrentasvir,Antivirals for treatment of HCV infections
"daclatasvir, asunaprevir and beclabuvir",Antivirals for treatment of HCV infections
zidovudine and lamivudine,"Antivirals for treatment of HIV infections, combinations"
lamivudine and abacavir,"Antivirals for treatment of HIV infections, combinations"
tenofovir disoproxil and emtricitabine,"Antivirals for treatment of HIV infections, combinations"
"zidovudine, lamivudine and abacavir","Antivirals for treatment of HIV infections, combinations"
"zidovudine, lamivudine and nevirapine","Antivirals for treatment of HIV infections, combinations"
"emtricitabine, tenofovir disoproxil and efavirenz","Antivirals for treatment of HIV infections, combinations"
"stavudine, lamivudine and nevirapine","Antivirals for treatment of HIV infections, combinations"
"emtricitabine, tenofovir disoproxil and rilpivirine","Antivirals for treatment of HIV infections, combinations"
"emtricitabine, tenofovir disoproxil, elvitegravir and cobicistat","Antivirals for treatment of HIV infections, combinations"
lopinavir and ritonavir,"Antivirals for treatment of HIV infections, combinations"
"lamivudine, tenofovir disoproxil and efavirenz","Antivirals for treatment of HIV infections, combinations"
lamivudine and tenofovir disoproxil,"Antivirals for treatment of HIV infections, combinations"
"lamivudine, abacavir and dolutegravir","Antivirals for treatment of HIV infections, combinations"
darunavir and cobicistat,"Antivirals for treatment of HIV infections, combinations"
atazanavir and cobicistat,"Antivirals for treatment of HIV infections, combinations"
lamivudine and raltegravir,"Antivirals for treatment of HIV infections, combinations"
emtricitabine and tenofovir alafenamide,"Antivirals for treatment of HIV infections, combinations"
"emtricitabine, tenofovir alafenamide, elvitegravir and cobicistat","Antivirals for treatment of HIV infections, combinations"
"emtricitabine, tenofovir alafenamide and rilpivirine","Antivirals for treatment of HIV infections, combinations"
"emtricitabine, tenofovir alafenamide and bictegravir","Antivirals for treatment of HIV infections, combinations"
dolutegravir and rilpivirine,"Antivirals for treatment of HIV infections, combinations"
"emtricitabine, tenofovir alafenamide, darunavir and cobicistat","Antivirals for treatment of HIV infections, combinations"
atazanavir and ritonavir,"Antivirals for treatment of HIV infections, combinations"
"lamivudine, tenofovir disoproxil and doravirine","Antivirals for treatment of HIV infections, combinations"
lamivudine and dolutegravir,"Antivirals for treatment of HIV infections, combinations"
darunavir and ritonavir,"Antivirals for treatment of HIV infections, combinations"
"lamivudine, tenofovir disoproxil and dolutegravir","Antivirals for treatment of HIV infections, combinations"
moroxydine,Other antivirals
inosine pranobex,Other antivirals
pleconaril,Other antivirals
enfuvirtide,Other antivirals
maraviroc,Other antivirals
maribavir,Other antivirals
umifenovir,Other antivirals
enisamium iodide,Other antivirals
letermovir,Other antivirals
tilorone,Other antivirals
pentanedioic acid imidazolyl ethanamide,Other antivirals
ibalizumab,Other antivirals
tecovirimat,Other antivirals
baloxavir marboxil,Other antivirals
amenamevir,Other antivirals
favipiravir,Other antivirals
bulevirtide,Other antivirals
fostemsavir,Other antivirals
diphtheria antitoxin,Immune sera
tetanus antitoxin,Immune sera
snake venom antiserum,Immune sera
botulinum antitoxin,Immune sera
gas-gangrene sera,Immune sera
rabies serum,Immune sera
"immunoglobulins, normal human, for extravascular adm.","Immunoglobulins, normal human"
"immunoglobulins, normal human, for intravascular adm.","Immunoglobulins, normal human"
anti-d (rh) immunoglobulin,Specific immunoglobulins
tetanus immunoglobulin,Specific immunoglobulins
varicella/zoster immunoglobulin,Specific immunoglobulins
hepatitis b immunoglobulin,Specific immunoglobulins
rabies immunoglobulin,Specific immunoglobulins
rubella immunoglobulin,Specific immunoglobulins
vaccinia immunoglobulin,Specific immunoglobulins
staphylococcus immunoglobulin,Specific immunoglobulins
cytomegalovirus immunoglobulin,Specific immunoglobulins
diphtheria immunoglobulin,Specific immunoglobulins
hepatitis a immunoglobulin,Specific immunoglobulins
"encephalitis, tick borne immunoglobulin",Specific immunoglobulins
pertussis immunoglobulin,Specific immunoglobulins
measles immunoglobulin,Specific immunoglobulins
mumps immunoglobulin,Specific immunoglobulins
palivizumab,Specific immunoglobulins
motavizumab,Specific immunoglobulins
raxibacumab,Specific immunoglobulins
anthrax immunoglobulin,Specific immunoglobulins
bezlotoxumab,Specific immunoglobulins
obiltoxaximab,Specific immunoglobulins
nebacumab,Other immunoglobulins
anthrax antigen,Anthrax vaccines
brucella antigen,Brucellosis vaccines
"cholera, inactivated, whole cell",Cholera vaccines
"cholera, live attenuated",Cholera vaccines
"cholera, combinations with typhoid vaccine, inactivated, whole cell",Cholera vaccines
diphtheria toxoid,Diphtheria vaccines
"haemophilus influenzae b, purified antigen conjugated",Haemophilus influenzae B vaccines
"haemophilus influenzae b, combinations with toxoids",Haemophilus influenzae B vaccines
"haemophilus influenzae b, combinations with pertussis and toxoids",Haemophilus influenzae B vaccines
"haemophilus influenzae b, combinations with meningococcus c, conjugated",Haemophilus influenzae B vaccines
"meningococcus a, purified polysaccharides antigen",Meningococcal vaccines
other meningococcal monovalent purified polysaccharides antigen,Meningococcal vaccines
"meningococcus a,c, bivalent purified polysaccharides antigen",Meningococcal vaccines
"meningococcus a,c,y,w-135, tetravalent purified polysaccharides antigen",Meningococcal vaccines
other meningococcal polyvalent purified polysaccharides antigen,Meningococcal vaccines
"meningococcus b, outer membrane vesicle vaccine",Meningococcal vaccines
"meningococcus c, purified polysaccharides antigen conjugated",Meningococcal vaccines
"meningococcus a,c,y,w-135, tetravalent purified polysaccharides antigen conjugated",Meningococcal vaccines
"meningococcus b, multicomponent vaccine",Meningococcal vaccines
"meningococcus a, purified polysaccharides antigen conjugated",Meningococcal vaccines
"pertussis, inactivated, whole cell",Pertussis vaccines
"pertussis, purified antigen",Pertussis vaccines
"pertussis, inactivated, whole cell, combinations with toxoids",Pertussis vaccines
"pertussis, purified antigen, combinations with toxoids",Pertussis vaccines
"plague, inactivated, whole cell",Plague vaccines
"pneumococcus, purified polysaccharides antigen",Pneumococcal vaccines
"pneumococcus, purified polysaccharides antigen conjugated",Pneumococcal vaccines
"pneumococcus purified polysaccharides antigen and haemophilus influenzae, conjugated",Pneumococcal vaccines
tetanus toxoid,Tetanus vaccines
"tetanus toxoid, combinations with diphtheria toxoid",Tetanus vaccines
"tetanus toxoid, combinations with tetanus immunoglobulin",Tetanus vaccines
"tuberculosis, live attenuated",Tuberculosis vaccines
"typhoid, oral, live attenuated",Typhoid vaccines
"typhoid, inactivated, whole cell",Typhoid vaccines
"typhoid, purified polysaccharide antigen",Typhoid vaccines
"typhoid, combinations with paratyphi types",Typhoid vaccines
"typhus exanthematicus, inactivated, whole cell",Typhus (exanthematicus) vaccines
"encephalitis, tick borne, inactivated, whole virus",Encephalitis vaccines
"encephalitis, japanese, inactivated, whole virus",Encephalitis vaccines
"encephalitis, japanese, live attenuated",Encephalitis vaccines
"influenza, inactivated, whole virus",Influenza vaccines
"influenza, inactivated, split virus or surface antigen",Influenza vaccines
"influenza, live attenuated",Influenza vaccines
"influenza, virus like particles",Influenza vaccines
"hepatitis b, purified antigen",Hepatitis vaccines
"hepatitis a, inactivated, whole virus",Hepatitis vaccines
"measles, live attenuated",Measles vaccines
"measles, combinations with mumps, live attenuated",Measles vaccines
"measles, combinations with mumps and rubella, live attenuated",Measles vaccines
"measles, combinations with rubella, live attenuated",Measles vaccines
"measles, combinations with mumps, rubella and varicella, live attenuated",Measles vaccines
"mumps, live attenuated",Mumps vaccines
"poliomyelitis oral, monovalent, live attenuated",Poliomyelitis vaccines
"poliomyelitis oral, trivalent, live attenuated",Poliomyelitis vaccines
"poliomyelitis, trivalent, inactivated, whole virus",Poliomyelitis vaccines
"poliomyelitis oral, bivalent, live attenuated",Poliomyelitis vaccines
"rabies, inactivated, whole virus",Rabies vaccines
"rota virus, live attenuated",Rota virus diarrhea vaccines
"rota virus, pentavalent, live, reassorted",Rota virus diarrhea vaccines
"rubella, live attenuated",Rubella vaccines
"rubella, combinations with mumps, live attenuated",Rubella vaccines
"varicella, live attenuated",Varicella zoster vaccines
"zoster, live attenuated",Varicella zoster vaccines
"zoster, purified antigen",Varicella zoster vaccines
"yellow fever, live attenuated",Yellow fever vaccines
"papillomavirus (human types 6, 11, 16, 18)",Papillomavirus vaccines
"papillomavirus (human types 16, 18)",Papillomavirus vaccines
"papillomavirus (human types 6, 11, 16, 18, 31, 33, 45, 52, 58)",Papillomavirus vaccines
smallpox vaccines,Other viral vaccines
ebola vaccines,Other viral vaccines
diphtheria-poliomyelitis-tetanus,"Bacterial and viral vaccines, combined"
diphtheria-pertussis-poliomyelitis-tetanus,"Bacterial and viral vaccines, combined"
diphtheria-rubella-tetanus,"Bacterial and viral vaccines, combined"
haemophilus influenzae b and poliomyelitis,"Bacterial and viral vaccines, combined"
diphtheria-hepatitis b-pertussis-tetanus,"Bacterial and viral vaccines, combined"
diphtheria-haemophilus influenzae b-pertussis-poliomyelitis-tetanus,"Bacterial and viral vaccines, combined"
diphtheria-hepatitis b-tetanus,"Bacterial and viral vaccines, combined"
haemophilus influenzae b and hepatitis b,"Bacterial and viral vaccines, combined"
diphtheria-haemophilus influenzae b-pertussis-poliomyelitis-tetanus-hepatitis b,"Bacterial and viral vaccines, combined"
typhoid-hepatitis a,"Bacterial and viral vaccines, combined"
diphtheria-haemophilus influenzae b-pertussis-tetanus-hepatitis b,"Bacterial and viral vaccines, combined"
diphtheria-pertussis-poliomyelitis-tetanus-hepatitis b,"Bacterial and viral vaccines, combined"
diphtheria-haemophilus influenzae b-pertussis-tetanus-hepatitis b-meningococcus a + c,"Bacterial and viral vaccines, combined"
cyclophosphamide,Nitrogen mustard analogues
chlorambucil,Nitrogen mustard analogues
melphalan,Nitrogen mustard analogues
chlormethine,Nitrogen mustard analogues
ifosfamide,Nitrogen mustard analogues
trofosfamide,Nitrogen mustard analogues
prednimustine,Nitrogen mustard analogues
bendamustine,Nitrogen mustard analogues
busulfan,Alkyl sulfonates
treosulfan,Alkyl sulfonates
mannosulfan,Alkyl sulfonates
thiotepa,Ethylene imines
triaziquone,Ethylene imines
carboquone,Ethylene imines
carmustine,Nitrosoureas
lomustine,Nitrosoureas
semustine,Nitrosoureas
streptozocin,Nitrosoureas
fotemustine,Nitrosoureas
nimustine,Nitrosoureas
ranimustine,Nitrosoureas
uramustine,Nitrosoureas
etoglucid,Epoxides
mitobronitol,Other alkylating agents
pipobroman,Other alkylating agents
temozolomide,Other alkylating agents
dacarbazine,Other alkylating agents
methotrexate,Folic acid analogues
raltitrexed,Folic acid analogues
pemetrexed,Folic acid analogues
pralatrexate,Folic acid analogues
mercaptopurine,Purine analogues
tioguanine,Purine analogues
cladribine,Purine analogues
fludarabine,Purine analogues
clofarabine,Purine analogues
nelarabine,Purine analogues
cytarabine,Pyrimidine analogues
fluorouracil,Pyrimidine analogues
tegafur,Pyrimidine analogues
carmofur,Pyrimidine analogues
gemcitabine,Pyrimidine analogues
capecitabine,Pyrimidine analogues
azacitidine,Pyrimidine analogues
decitabine,Pyrimidine analogues
floxuridine,Pyrimidine analogues
"fluorouracil, combinations",Pyrimidine analogues
"tegafur, combinations",Pyrimidine analogues
"trifluridine, combinations",Pyrimidine analogues
vinblastine,Vinca alkaloids and analogues
vincristine,Vinca alkaloids and analogues
vindesine,Vinca alkaloids and analogues
vinorelbine,Vinca alkaloids and analogues
vinflunine,Vinca alkaloids and analogues
vintafolide,Vinca alkaloids and analogues
etoposide,Podophyllotoxin derivatives
teniposide,Podophyllotoxin derivatives
demecolcine,Colchicine derivatives
paclitaxel,Taxanes
docetaxel,Taxanes
paclitaxel poliglumex,Taxanes
cabazitaxel,Taxanes
topotecan,Topoisomerase 1 (TOP1) inhibitors
irinotecan,Topoisomerase 1 (TOP1) inhibitors
etirinotecan pegol,Topoisomerase 1 (TOP1) inhibitors
belotecan,Topoisomerase 1 (TOP1) inhibitors
trabectedin,Other plant alkaloids and natural products
dactinomycin,Actinomycines
doxorubicin,Anthracyclines and related substances
daunorubicin,Anthracyclines and related substances
epirubicin,Anthracyclines and related substances
aclarubicin,Anthracyclines and related substances
zorubicin,Anthracyclines and related substances
idarubicin,Anthracyclines and related substances
mitoxantrone,Anthracyclines and related substances
pirarubicin,Anthracyclines and related substances
valrubicin,Anthracyclines and related substances
amrubicin,Anthracyclines and related substances
pixantrone,Anthracyclines and related substances
bleomycin,Other cytotoxic antibiotics
plicamycin,Other cytotoxic antibiotics
mitomycin,Other cytotoxic antibiotics
ixabepilone,Other cytotoxic antibiotics
imatinib,BCR-ABL tyrosine kinase inhibitors
dasatinib,BCR-ABL tyrosine kinase inhibitors
nilotinib,BCR-ABL tyrosine kinase inhibitors
bosutinib,BCR-ABL tyrosine kinase inhibitors
ponatinib,BCR-ABL tyrosine kinase inhibitors
gefitinib,Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors
erlotinib,Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors
afatinib,Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors
osimertinib,Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors
rociletinib,Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors
olmutinib,Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors
dacomitinib,Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors
icotinib,Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors
vemurafenib,B-Raf serine-threonine kinase (BRAF) inhibitors
dabrafenib,B-Raf serine-threonine kinase (BRAF) inhibitors
encorafenib,B-Raf serine-threonine kinase (BRAF) inhibitors
crizotinib,Anaplastic lymphoma kinase (ALK) inhibitors
ceritinib,Anaplastic lymphoma kinase (ALK) inhibitors
alectinib,Anaplastic lymphoma kinase (ALK) inhibitors
brigatinib,Anaplastic lymphoma kinase (ALK) inhibitors
lorlatinib,Anaplastic lymphoma kinase (ALK) inhibitors
trametinib,Mitogen-activated protein kinase (MEK) inhibitors
cobimetinib,Mitogen-activated protein kinase (MEK) inhibitors
binimetinib,Mitogen-activated protein kinase (MEK) inhibitors
selumetinib,Mitogen-activated protein kinase (MEK) inhibitors
palbociclib,Cyclin-dependent kinase (CDK) inhibitors
ribociclib,Cyclin-dependent kinase (CDK) inhibitors
abemaciclib,Cyclin-dependent kinase (CDK) inhibitors
temsirolimus,Mammalian target of rapamycin (mTOR) kinase inhibitors
everolimus,Mammalian target of rapamycin (mTOR) kinase inhibitors
ridaforolimus,Mammalian target of rapamycin (mTOR) kinase inhibitors
lapatinib,Human epidermal growth factor receptor 2 (HER2) tyrosine kinase inhibitors
neratinib,Human epidermal growth factor receptor 2 (HER2) tyrosine kinase inhibitors
tucatinib,Human epidermal growth factor receptor 2 (HER2) tyrosine kinase inhibitors
ruxolitinib,Janus-associated kinase (JAK) inhibitors
fedratinib,Janus-associated kinase (JAK) inhibitors
axitinib,Vascular endothelial growth factor receptor (VEGFR) tyrosine kinase inhibitors
cediranib,Vascular endothelial growth factor receptor (VEGFR) tyrosine kinase inhibitors
tivozanib,Vascular endothelial growth factor receptor (VEGFR) tyrosine kinase inhibitors
ibrutinib,Bruton's tyrosine kinase (BTK) inhibitors
acalabrutinib,Bruton's tyrosine kinase (BTK) inhibitors
zanubrutinib,Bruton's tyrosine kinase (BTK) inhibitors
idelalisib,Phosphatidylinositol-3-kinase (Pi3K) inhibitors
copanlisib,Phosphatidylinositol-3-kinase (Pi3K) inhibitors
alpelisib,Phosphatidylinositol-3-kinase (Pi3K) inhibitors
duvelisib,Phosphatidylinositol-3-kinase (Pi3K) inhibitors
sunitinib,Other protein kinase inhibitors
sorafenib,Other protein kinase inhibitors
pazopanib,Other protein kinase inhibitors
vandetanib,Other protein kinase inhibitors
regorafenib,Other protein kinase inhibitors
masitinib,Other protein kinase inhibitors
cabozantinib,Other protein kinase inhibitors
lenvatinib,Other protein kinase inhibitors
nintedanib,Other protein kinase inhibitors
midostaurin,Other protein kinase inhibitors
quizartinib,Other protein kinase inhibitors
larotrectinib,Other protein kinase inhibitors
gilteritinib,Other protein kinase inhibitors
entrectinib,Other protein kinase inhibitors
pexidartinib,Other protein kinase inhibitors
erdafitinib,Other protein kinase inhibitors
capmatinib,Other protein kinase inhibitors
avapritinib,Other protein kinase inhibitors
ripretinib,Other protein kinase inhibitors
pemigatinib,Other protein kinase inhibitors
tepotinib,Other protein kinase inhibitors
cisplatin,Platinum compounds
carboplatin,Platinum compounds
oxaliplatin,Platinum compounds
satraplatin,Platinum compounds
polyplatillen,Platinum compounds
procarbazine,Methylhydrazines
edrecolomab,Monoclonal antibodies
rituximab,Monoclonal antibodies
trastuzumab,Monoclonal antibodies
gemtuzumab ozogamicin,Monoclonal antibodies
cetuximab,Monoclonal antibodies
bevacizumab,Monoclonal antibodies
panitumumab,Monoclonal antibodies
catumaxomab,Monoclonal antibodies
ofatumumab,Monoclonal antibodies
ipilimumab,Monoclonal antibodies
brentuximab vedotin,Monoclonal antibodies
pertuzumab,Monoclonal antibodies
trastuzumab emtansine,Monoclonal antibodies
obinutuzumab,Monoclonal antibodies
dinutuximab beta,Monoclonal antibodies
nivolumab,Monoclonal antibodies
pembrolizumab,Monoclonal antibodies
blinatumomab,Monoclonal antibodies
ramucirumab,Monoclonal antibodies
necitumumab,Monoclonal antibodies
elotuzumab,Monoclonal antibodies
daratumumab,Monoclonal antibodies
mogamulizumab,Monoclonal antibodies
inotuzumab ozogamicin,Monoclonal antibodies
olaratumab,Monoclonal antibodies
durvalumab,Monoclonal antibodies
bermekimab,Monoclonal antibodies
avelumab,Monoclonal antibodies
atezolizumab,Monoclonal antibodies
cemiplimab,Monoclonal antibodies
moxetumomab pasudotox,Monoclonal antibodies
tafasitamab,Monoclonal antibodies
enfortumab vedotin,Monoclonal antibodies
polatuzumab vedotin,Monoclonal antibodies
isatuximab,Monoclonal antibodies
belantamab mafodotin,Monoclonal antibodies
dostarlimab,Monoclonal antibodies
trastuzumab deruxtecan,Monoclonal antibodies
porfimer sodium,Sensitizers used in photodynamic/radiation therapy
methyl aminolevulinate,Sensitizers used in photodynamic/radiation therapy
aminolevulinic acid,Sensitizers used in photodynamic/radiation therapy
temoporfin,Sensitizers used in photodynamic/radiation therapy
efaproxiral,Sensitizers used in photodynamic/radiation therapy
padeliporfin,Sensitizers used in photodynamic/radiation therapy
bexarotene,Retinoids for cancer treatment
bortezomib,Proteasome inhibitors
carfilzomib,Proteasome inhibitors
ixazomib,Proteasome inhibitors
vorinostat,Histone deacetylase (HDAC) inhibitors
romidepsin,Histone deacetylase (HDAC) inhibitors
panobinostat,Histone deacetylase (HDAC) inhibitors
belinostat,Histone deacetylase (HDAC) inhibitors
entinostat,Histone deacetylase (HDAC) inhibitors
vismodegib,Hedgehog pathway inhibitors
sonidegib,Hedgehog pathway inhibitors
glasdegib,Hedgehog pathway inhibitors
olaparib,Poly (ADP-ribose) polymerase (PARP) inhibitors
niraparib,Poly (ADP-ribose) polymerase (PARP) inhibitors
rucaparib,Poly (ADP-ribose) polymerase (PARP) inhibitors
talazoparib,Poly (ADP-ribose) polymerase (PARP) inhibitors
veliparib,Poly (ADP-ribose) polymerase (PARP) inhibitors
amsacrine,Other antineoplastic agents
asparaginase,Other antineoplastic agents
altretamine,Other antineoplastic agents
hydroxycarbamide,Other antineoplastic agents
lonidamine,Other antineoplastic agents
pentostatin,Other antineoplastic agents
masoprocol,Other antineoplastic agents
estramustine,Other antineoplastic agents
mitoguazone,Other antineoplastic agents
tiazofurine,Other antineoplastic agents
mitotane,Other antineoplastic agents
pegaspargase,Other antineoplastic agents
arsenic trioxide,Other antineoplastic agents
denileukin diftitox,Other antineoplastic agents
celecoxib,Other antineoplastic agents
anagrelide,Other antineoplastic agents
oblimersen,Other antineoplastic agents
sitimagene ceradenovec,Other antineoplastic agents
omacetaxine mepesuccinate,Other antineoplastic agents
eribulin,Other antineoplastic agents
aflibercept,Other antineoplastic agents
talimogene laherparepvec,Other antineoplastic agents
venetoclax,Other antineoplastic agents
vosaroxin,Other antineoplastic agents
plitidepsin,Other antineoplastic agents
epacadostat,Other antineoplastic agents
enasidenib,Other antineoplastic agents
ivosidenib,Other antineoplastic agents
selinexor,Other antineoplastic agents
tagraxofusp,Other antineoplastic agents
lurbinectedin,Other antineoplastic agents
axicabtagene ciloleucel,Other antineoplastic agents
tisagenlecleucel,Other antineoplastic agents
cytarabine and daunorubicin,Combinations of antineoplastic agents
pertuzumab and trastuzumab,Combinations of antineoplastic agents
polyestradiol phosphate,Estrogens
fosfestrol,Estrogens
buserelin,Gonadotropin releasing hormone analogues
leuprorelin,Gonadotropin releasing hormone analogues
goserelin,Gonadotropin releasing hormone analogues
triptorelin,Gonadotropin releasing hormone analogues
histrelin,Gonadotropin releasing hormone analogues
leuprorelin and bicalutamide,Gonadotropin releasing hormone analogues
tamoxifen,Anti-estrogens
toremifene,Anti-estrogens
fulvestrant,Anti-estrogens
flutamide,Anti-androgens
nilutamide,Anti-androgens
bicalutamide,Anti-androgens
enzalutamide,Anti-androgens
apalutamide,Anti-androgens
darolutamide,Anti-androgens
aminoglutethimide,Aromatase inhibitors
formestane,Aromatase inhibitors
anastrozole,Aromatase inhibitors
letrozole,Aromatase inhibitors
vorozole,Aromatase inhibitors
exemestane,Aromatase inhibitors
abarelix,Other hormone antagonists and related agents
degarelix,Other hormone antagonists and related agents
abiraterone,Other hormone antagonists and related agents
filgrastim,Colony stimulating factors
molgramostim,Colony stimulating factors
sargramostim,Colony stimulating factors
lenograstim,Colony stimulating factors
ancestim,Colony stimulating factors
pegfilgrastim,Colony stimulating factors
lipegfilgrastim,Colony stimulating factors
balugrastim,Colony stimulating factors
empegfilgrastim,Colony stimulating factors
pegteograstim,Colony stimulating factors
interferon alfa natural,Interferons
interferon beta natural,Interferons
interferon gamma,Interferons
interferon alfa-2a,Interferons
interferon alfa-2b,Interferons
interferon alfa-n1,Interferons
interferon beta-1a,Interferons
interferon beta-1b,Interferons
interferon alfacon-1,Interferons
peginterferon alfa-2b,Interferons
peginterferon alfa-2a,Interferons
albinterferon alfa-2b,Interferons
peginterferon beta-1a,Interferons
cepeginterferon alfa-2b,Interferons
ropeginterferon alfa-2b,Interferons
"peginterferon alfa-2b, combinations",Interferons
"peginterferon alfa-2a, combinations",Interferons
aldesleukin,Interleukins
oprelvekin,Interleukins
lentinan,Other immunostimulants
roquinimex,Other immunostimulants
bcg vaccine,Other immunostimulants
pegademase,Other immunostimulants
pidotimod,Other immunostimulants
poly i:c,Other immunostimulants
poly iclc,Other immunostimulants
thymopentin,Other immunostimulants
immunocyanin,Other immunostimulants
tasonermin,Other immunostimulants
melanoma vaccine,Other immunostimulants
glatiramer acetate,Other immunostimulants
histamine dihydrochloride,Other immunostimulants
mifamurtide,Other immunostimulants
plerixafor,Other immunostimulants
sipuleucel-t,Other immunostimulants
cridanimod,Other immunostimulants
dasiprotimut-t,Other immunostimulants
elapegademase,Other immunostimulants
muromonab-cd3,Selective immunosuppressants
antilymphocyte immunoglobulin (horse),Selective immunosuppressants
antithymocyte immunoglobulin (rabbit),Selective immunosuppressants
mycophenolic acid,Selective immunosuppressants
sirolimus,Selective immunosuppressants
leflunomide,Selective immunosuppressants
alefacept,Selective immunosuppressants
gusperimus,Selective immunosuppressants
efalizumab,Selective immunosuppressants
abetimus,Selective immunosuppressants
natalizumab,Selective immunosuppressants
abatacept,Selective immunosuppressants
eculizumab,Selective immunosuppressants
belimumab,Selective immunosuppressants
fingolimod,Selective immunosuppressants
belatacept,Selective immunosuppressants
tofacitinib,Selective immunosuppressants
teriflunomide,Selective immunosuppressants
apremilast,Selective immunosuppressants
vedolizumab,Selective immunosuppressants
alemtuzumab,Selective immunosuppressants
begelomab,Selective immunosuppressants
ocrelizumab,Selective immunosuppressants
baricitinib,Selective immunosuppressants
ozanimod,Selective immunosuppressants
emapalumab,Selective immunosuppressants
imlifidase,Selective immunosuppressants
siponimod,Selective immunosuppressants
